,City,City_Id,Latitude,Temperature,Cloud_Index,Humidity,Wind
421,cayenne,3382160,4.94,84.2,100,74,12.75
422,ornskoldsvik,2686469,63.29,37.4,0,87,13.87
423,paracatu,3455168,-17.22,85.02,20,85,5.93
424,chodavaram,1274021,17.44,57.84,0,90,2.24
425,zhanaozen,607610,43.35,34.08,24,89,9.17
426,klaksvik,2618795,62.23,41.0,80,75,10.29
427,chapais,5919850,49.78,6.8,40,71,10.29
428,kletskaya,547677,49.31,20.4,92,90,10.74
429,aguimes,2522325,27.91,66.2,0,52,4.7
430,kurchum,1521762,48.57,-16.05,0,23,1.12
431,ulaangom,1515029,49.98,-29.69,0,0,1.57
432,san luis de planes,3601925,14.98,102.2,40,33,5.82
433,tilichiki,2120591,60.47,28.32,68,86,13.76
434,hailey,5594956,43.52,32.0,40,78,6.93
435,porto torres,3170069,40.84,46.4,0,93,1.12
436,poieni,678248,46.75,24.8,75,73,20.8
437,sitka,4267710,37.17,56.9,56,40,13.65
438,yeola,1252738,20.04,57.93,0,74,7.05
439,la ronge,6050066,55.1,5.0,90,84,10.29
440,riyadh,108410,24.63,68.0,0,30,4.7
441,volchansk,1486984,59.94,10.37,48,78,2.68
442,pozo colorado,3437443,-23.49,92.54,36,63,17.45
443,magadan,2123628,59.56,-1.97,20,100,17.67
444,mittersill,2771385,47.28,37.4,75,84,10.29
445,maniitsoq,3421982,65.42,26.57,88,92,22.59
446,kenai,5866063,60.55,-2.21,90,86,4.59
447,maragogi,3395458,-9.01,82.41,76,77,10.96
448,mumford,2297810,5.26,84.89,0,57,8.72
449,narasannapeta,1261853,18.42,57.8,0,99,2.24
450,bumba,217745,2.18,74.9,88,90,6.6
451,suntar,2015913,62.16,-2.24,44,47,9.95
452,santa marinella,3167520,42.04,48.2,0,81,3.36
453,hatillo,4565346,18.49,84.2,1,74,13.87
454,carballo,3126369,43.21,51.8,0,61,3.36
455,maceio,3395981,-9.67,84.2,75,58,10.29
456,gorzow wielkopolski,3098722,52.74,29.22,44,88,5.7
457,hamilton,3573197,32.3,69.8,75,73,17.22
458,hirado,1862555,33.32,50.15,0,100,8.72
459,vila velha,6320062,-3.71,86.0,75,66,16.11
460,yushu,2033242,44.84,-10.16,0,53,3.24
